hedge_instructions

| column_name             | data_type                   |
| ----------------------- | --------------------------- |
| value_date              | date                        |
| processed_timestamp     | timestamp without time zone |
| response_timestamp      | timestamp without time zone |
| received_timestamp      | timestamp without time zone |
| buffer_pct_snapshot     | numeric                     |
| response_notional       | numeric                     |
| allocated_notional      | numeric                     |
| created_date            | timestamp without time zone |
| not_allocated_notional  | numeric                     |
| modified_date           | timestamp without time zone |
| instruction_date        | date                        |
| hedge_amount_order      | numeric                     |
| hedging_state_snapshot  | character varying           |
| car_exemption_snapshot  | character                   |
| instruction_status      | character varying           |
| check_status            | character varying           |
| acknowledgement_status  | character varying           |
| usd_pb_check_status     | character varying           |
| failure_reason          | text                        |
| request_id              | character varying           |
| external_trade_id       | character varying           |
| portfolio_code          | character varying           |
| created_by              | character varying           |
| modified_by             | character varying           |
| instruction_fingerprint | text                        |
| instruction_id          | character varying           |
| result                  | text                        |
| msg_uid                 | character varying           |
| instruction_type        | character                   |
| exposure_currency       | character varying           |
| order_id                | character varying           |
| sub_order_id            | character varying           |
| previous_order_id       | character varying           |
| supersedes_msg_uid      | character varying           |
| hedge_method            | character varying           |
| hedging_instrument_hint | character varying           |
| tenor_or_maturity       | character varying           |
| framework_id_snapshot   | character varying           |

position_nav_master
| column_name           | data_type                   |
| --------------------- | --------------------------- |
| computed_total_nav    | numeric                     |
| as_of_date            | date                        |
| current_position      | numeric                     |
| coi_amount            | numeric                     |
| re_amount             | numeric                     |
| buffer_pct            | numeric                     |
| buffer_amount         | numeric                     |
| manual_overlay_amount | numeric                     |
| optimal_car_amount    | numeric                     |
| optimal_car_as_of     | date                        |
| created_at            | timestamp without time zone |
| modified_at           | timestamp without time zone |
| data_quality_notes    | text                        |
| created_by            | character varying           |
| entity_id             | character varying           |
| currency_code         | character varying           |
| manual_overlay_notes  | text                        |
| source_system         | character varying           |
| source_batch_id       | character varying           |
| nav_type              | character varying           |
| position_type         | character varying           |
| nav_id                | character varying           |
| optimal_car_source    | character varying           |
| modified_by           | character varying           |
| data_quality_status   | character varying           |

deal_bookings
| column_name               | data_type                   |
| ------------------------- | --------------------------- |
| modified_date             | timestamp without time zone |
| deal_sequence             | integer                     |
| sell_amount               | numeric                     |
| buy_amount                | numeric                     |
| fx_rate                   | numeric                     |
| trade_date                | date                        |
| value_date                | date                        |
| maturity_date             | date                        |
| linked_deal_sequence      | integer                     |
| triggers_proxy_automation | boolean                     |
| automated_creation        | boolean                     |
| parent_deal_sequence      | integer                     |
| final_hedge_position      | boolean                     |
| near_leg_structure        | jsonb                       |
| far_leg_structure         | jsonb                       |
| ndf_structure             | jsonb                       |
| embedded_spot_details     | jsonb                       |
| currency_proxy            | jsonb                       |
| onshore_offshore_basis    | numeric                     |
| swap_points               | numeric                     |
| position_tracking         | boolean                     |
| currency_pair             | jsonb                       |
| spot_details              | jsonb                       |
| created_date              | timestamp without time zone |
| embedded_spot_purpose     | character varying           |
| event_id                  | character varying           |
| ndf_reference             | character varying           |
| deal_type                 | character varying           |
| system                    | character varying           |
| portfolio                 | character varying           |
| counterparty              | character varying           |
| sell_currency             | character varying           |
| buy_currency              | character varying           |
| target_currency           | character varying           |
| funding_purpose           | character varying           |
| swap_structure            | character varying           |
| proxy_rationale           | character varying           |
| deal_booking_id           | character varying           |
| purpose                   | character varying           |
| deal_status               | character varying           |
| booking_reference         | character varying           |
| internal_reference        | character varying           |
| external_reference        | character varying           |
| comment1                  | character varying           |
| transfer_type             | character varying           |
| rate_type                 | character varying           |
| proxy_purpose             | character varying           |
| product_type              | character varying           |


gl_entries
| column_name                | data_type                   |
| -------------------------- | --------------------------- |
| created_date               | timestamp without time zone |
| entry_sequence             | integer                     |
| posting_date               | date                        |
| amount_sgd                 | numeric                     |
| reference_deal_sequence    | integer                     |
| reversal_flag              | boolean                     |
| daily_processing           | boolean                     |
| monthly_only               | boolean                     |
| differential_components    | jsonb                       |
| entity_dependent_posting   | boolean                     |
| daily_reversal             | boolean                     |
| dual_currency_treatment    | jsonb                       |
| embedded_spot_logic        | jsonb                       |
| event_id                   | character varying           |
| source_field               | character varying           |
| entry_type                 | character varying           |
| source_system              | character varying           |
| debit_account              | character varying           |
| credit_account             | character varying           |
| product_code               | character varying           |
| entity_id                  | character varying           |
| proxy_currency_pair        | character varying           |
| gl_entry_id                | character varying           |
| currency_differential_type | character varying           |
| ndf_specific_logic         | character varying           |

usd_pb_deposit
| column_name              | data_type                   |
| ------------------------ | --------------------------- |
| modified_date            | timestamp without time zone |
| utilization_percentage   | numeric                     |
| last_breach_timestamp    | timestamp without time zone |
| daily_change_amount      | numeric                     |
| daily_change_percentage  | numeric                     |
| forecast_1_day           | numeric                     |
| forecast_7_days          | numeric                     |
| forecast_30_days         | numeric                     |
| data_quality_score       | numeric                     |
| last_updated_timestamp   | timestamp without time zone |
| notification_timestamp   | timestamp without time zone |
| created_date             | timestamp without time zone |
| measurement_date         | date                        |
| measurement_time         | timestamp without time zone |
| total_usd_pb_deposits    | numeric                     |
| current_hedge_exposure   | numeric                     |
| pending_hedge_requests   | numeric                     |
| total_projected_exposure | numeric                     |
| available_capacity       | numeric                     |
| threshold_warning        | numeric                     |
| threshold_critical       | numeric                     |
| threshold_maximum        | numeric                     |
| currency_code            | character varying           |
| created_by               | character varying           |
| breach_status            | character varying           |
| validation_status        | character varying           |
| deposit_trend            | character varying           |
| deposit_id               | character varying           |
| escalation_level         | character varying           |
| notification_sent_flag   | character                   |
| modified_by              | character varying           |
| notes                    | text                        |
| data_source              | character varying           |
